AC ENG 20A,Academic Writing,5
AC ENG 20B,Academic Writing,5
AC ENG 20C,Essentials of Academic Writing,5
AC ENG 20D,Academic Writing,5
AC ENG 22A,Academic English Reading and Vocabulary,2
AC ENG 22B,ESL Reading and Vocabulary,2
AC ENG 23A,Oral English Communication I,2
AC ENG 23B,Oral English Communication II,2
AC ENG 23C,Oral English Communication III,2
AC ENG 24,ESL International TA Workshop,2
AC ENG 28,Grammar,2-4
AC ENG 29,Special Topics in ESL,2
AC ENG 139W,Advanced Academic Writing Across the Curriculum,4
